full_name,H,albedo,diameter_sigma,e,a,i,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_per_s,miss_distance_km,orbiting_body
887 alinda a918 aa,13.81,0.31,,0.5712,2.474,9.4,2000887,887 alinda a918 aa,13.81,4.5978518828,10.2811093604,False,2025-01-08,8.2486988645,12296605.087478507,Earth
4034 vishnu 1986 pa,18.49,0.52,,0.444,1.059,11.17,2004034,4034 vishnu 1986 pa,18.49,0.5327886649,1.1913516723,True,2025-04-01,11.9802250041,23450596.738322098,Earth
6239 minos 1989 qf,18.59,,,0.4125,1.151,3.94,2006239,6239 minos 1989 qf,18.6,0.5064714588,1.1325046106,True,2025-02-05,10.1763046198,14819302.572401252,Earth
9058 1992 jb,17.81,,,0.3597,1.557,16.09,2009058,9058 1992 jb,17.81,0.7287104149,1.6294460236,False,2025-04-21,11.6691798166,15290773.603836255,Earth
65733 1993 pc,18.37,,,0.4744,1.154,4.14,2065733,65733 1993 pc,18.37,0.5630603897,1.2590413069,False,2025-05-23,9.8223143964,25254946.284965362,Earth
66008 1998 qh2,15.93,0.319,0.28,0.3627,1.426,61.01,2066008,66008 1998 qh2,15.93,1.7320282714,3.8729329538,False,2025-03-09,34.0797637633,11613384.883284358,Earth
85953 1999 fk21,18.09,0.32,,0.703,0.7389,12.6,2085953,85953 1999 fk21,18.09,0.6405528629,1.4323197447,False,2025-04-08,18.9880538419,12078251.946667787,Earth
101955 bennu 1999 rq36,20.21,0.044,0.0,0.2037,1.126,6.03,2101955,101955 bennu 1999 rq36,20.21,0.2412986969,0.5395602892,True,2025-02-25,16.8962992971,58574507.31152992,Earth
136818 selqet 1997 mw1,18.98,,,0.3463,0.9375,12.78,2136818,136818 selqet 1997 mw1,18.98,0.425162524,0.9506923052,False,2025-05-25,23.5482882501,68931132.41189452,Earth
137126 1999 cf9,18.06,,,0.6008,1.77,5.54,2137126,137126 1999 cf9,18.06,0.6494638409,1.4522452972,True,2025-03-08,18.6063390163,7902730.593013318,Earth
138258 2000 gd2,18.98,,,0.4767,0.7578,32.14,2138258,138258 2000 gd2,18.98,0.425162524,0.9506923052,False,2025-03-21,27.8620875196,64256255.85150469,Earth
141078 2001 xq30,18.67,,,0.4509,1.863,11.47,2141078,141078 2001 xq30,18.67,0.4904050984,1.0965791366,False,2025-03-18,6.6943559001,29107278.838717114,Earth
141531 2002 gb,19.15,0.482,0.01,0.529,0.9921,22.55,2141531,141531 2002 gb,19.15,0.3931470096,0.8791034386,False,2025-05-29,14.8381091952,71899686.0479213,Earth
152754 1999 gs6,19.22,0.216,0.08,0.4974,1.191,2.02,2152754,152754 1999 gs6,19.22,0.3806755436,0.8512163929,True,2025-03-25,11.3800144723,18287995.57727836,Earth
154276 2002 sy50,17.61,0.143,0.35,0.6889,1.705,8.74,2154276,154276 2002 sy50,17.61,0.7990150812,1.7866520367,True,2025-05-15,22.9393969732,10540965.594653184,Earth
155110 2005 tb,17.45,0.379,0.03,0.3485,1.261,30.38,2155110,155110 2005 tb,17.45,0.8601119401,1.9232687664,False,2025-04-29,19.6263157705,17545847.27611251,Earth
162080 1998 dg16,19.95,0.035,0.06,0.3582,0.8967,16.21,2162080,162080 1998 dg16,19.95,0.2719912773,0.6081909854,False,2025-01-23,22.6291370094,66900613.07117537,Earth
223456 2003 ub10,18.29,,,0.3354,1.599,5.15,2223456,223456 2003 ub10,18.29,0.5841911542,1.3062911326,False,2025-04-23,7.6402433621,26648300.157995164,Earth
226514 2003 ux34,20.16,,,0.6158,1.095,2.56,2226514,226514 2003 ux34,20.16,0.2469192656,0.5521282628,True,2025-01-07,16.5489937942,18491518.45292493,Earth
265196 2004 bw58,18.83,0.31,0.13,0.3783,1.454,15.22,2265196,265196 2004 bw58,18.83,0.4555698523,1.0186851583,True,2025-01-22,10.4985312457,10773851.9441376,Earth
303450 2005 by2,20.51,0.317,0.05,0.3307,1.269,7.29,2303450,303450 2005 by2,20.51,0.2101623793,0.4699373665,True,2025-03-18,7.250232849,25586138.42131521,Earth
322756 2001 ck32,19.23,,,0.3827,0.7243,8.14,2322756,322756 2001 ck32,19.23,0.3789264984,0.8473054089,False,2025-02-16,22.114256769,63055129.06303286,Earth
325102 2008 ey5,20.17,0.124,0.01,0.6268,0.6262,5.11,2325102,325102 2008 ey5,20.17,0.2457847746,0.5495914639,False,2025-03-16,30.1770124086,69739452.48849533,Earth
326290 akhenaten 1998 he3,21.83,,,0.4401,0.8791,3.38,2326290,326290 akhenaten 1998 he3,21.83,0.1144339731,0.2558821427,True,2025-02-03,16.1458794157,18470361.050567634,Earth
341843 2008 ev5,20.05,0.137,0.05,0.0828,0.9598,7.45,2341843,341843 2008 ev5,20.05,0.2597496533,0.580817882,True,2025-04-27,7.4511220223,26121615.4998212,Earth
351545 2005 te15,19.81,,,0.3435,1.204,13.13,2351545,351545 2005 te15,19.82,0.2887719308,0.6457136672,False,2025-03-09,16.6102608041,26530689.91790983,Earth
358453 2007 eh88,19.83,,,0.4413,1.123,12.08,2358453,358453 2007 eh88,19.83,0.2874451443,0.6427468824,False,2025-04-29,15.3121258309,20314021.386937167,Earth
387733 2003 gs,18.93,0.411,0.01,0.2186,0.8928,12.03,2387733,387733 2003 gs,18.93,0.4350658314,0.9728367737,False,2025-05-06,9.1715507702,23782605.783760656,Earth
387746 2003 mh4,20.13,0.132,0.01,0.5131,1.963,3.91,2387746,387746 2003 mh4,20.13,0.2503542548,0.5598091321,True,2025-05-24,8.3499414487,6676622.037356153,Earth
390725 2003 hb,19.69,0.271,0.05,0.3803,0.8497,18.12,2390725,390725 2003 hb,19.69,0.3065878759,0.6855513317,True,2025-05-25,13.4664383423,7028371.090213117,Earth
414800 2010 sv3,20.7,,,0.5156,1.513,6.18,2414800,414800 2010 sv3,20.7,0.1925550782,0.4305662442,False,2025-03-31,11.3561214687,23602490.786028728,Earth
434500 2005 sb71,21.2,,,0.2573,1.264,13.21,2434500,434500 2005 sb71,21.2,0.1529519353,0.3420109247,False,2025-04-26,20.753550208,70862359.32291621,Earth
434633 2005 wb1,20.71,0.039,0.11,0.3553,1.264,22.88,2434633,434633 2005 wb1,20.71,0.191670368,0.428587972,True,2025-05-25,16.2834686212,8709359.899527611,Earth
436030 2009 jo2,19.43,0.296,0.04,0.4784,0.8883,19.62,2436030,436030 2009 jo2,19.43,0.3455850738,0.7727517171,False,2025-04-20,16.3012879468,8490508.98676425,Earth
438017 2003 yo3,18.54,,,0.3661,1.45,24.61,2438017,438017 2003 yo3,18.54,0.5206609142,1.1642331974,False,2025-01-07,15.2767515283,12136326.303555183,Earth
439437 2013 nk4,18.93,,,0.5499,1.023,6.55,2439437,439437 2013 nk4,18.93,0.4350658314,0.9728367737,True,2025-04-23,22.5641455949,28314051.242426984,Earth
