id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_per_s,miss_distance_km,orbiting_body
3427459,(2008 SS),22.11,0.100590039,0.2249261651,False,2025-10-03,14.5278596145,17860588.568532283,Earth
3716631,(2015 HN9),22.16,0.0983003302,0.2198062205,False,2025-10-03,7.7084332714,12307687.731521931,Earth
3720000,(2015 KT120),25.1,0.0253837029,0.0567596853,False,2025-10-03,11.569203976,39827549.38855575,Earth
54201807,(2021 SY3),27.0,0.0105816886,0.023661375,False,2025-10-03,5.9294008854,7782741.82159392,Earth
54212590,(2021 UJ1),26.33,0.0144063837,0.0322136532,False,2025-10-03,22.1261472346,66740907.725807328,Earth
54265626,(2022 FL1),29.24,0.0037718549,0.0084341239,False,2025-10-03,7.6817966076,71679427.628638257,Earth
54300842,(2022 QG41),21.96,0.1077841687,0.2410127282,False,2025-10-03,11.9542124902,16201986.272634791,Earth
54309253,(2022 SK21),25.6,0.0201629919,0.0450858206,False,2025-10-03,2.376499605,21283967.780194912,Earth
54324411,(2022 VV),23.69,0.0485909037,0.1086525639,False,2025-10-03,9.0730597852,30486923.428302029,Earth
54383301,(2023 RV12),26.2,0.0152951935,0.0342010925,False,2025-10-03,13.598403206,28643357.009475281,Earth
54385247,(2023 SV1),24.13,0.0396784754,0.0887237683,False,2025-10-03,31.8007142527,59952516.85623488,Earth
54417174,(2023 XJ16),19.92,0.2757750529,0.6166517648,False,2025-10-03,26.1780296583,71944436.919310756,Earth
54486931,(2024 TW),28.95,0.0043107712,0.0096391775,False,2025-10-03,11.8351736661,7983747.398922211,Earth
54542743,(2025 QK10),24.12,0.0398616229,0.0891332986,False,2025-10-03,11.8906355112,12572284.43126897,Earth
54544998,(2025 RH2),24.9,0.0278326768,0.0622357573,False,2025-10-03,5.0734539216,7509540.446841712,Earth
54546468,(2025 SV2),24.68,0.0308003021,0.0688715693,False,2025-10-03,7.3131874033,17704479.511079681,Earth
