"full_name","H","albedo","diameter_sigma","e","a","i"
"   433 Eros (A898 PA)",10.39,0.25,0.06,0.2228,1.458,10.83
"   719 Albert (A911 TB)",15.59,,,0.5466,2.637,11.57
"   887 Alinda (A918 AA)",13.81,0.31,,0.5712,2.474,9.40
"  1036 Ganymed (A924 UB)",9.18,0.238,0.40,0.5332,2.665,26.68
"  1221 Amor (1932 EA1)",17.37,,,0.4346,1.92,11.87
"  1566 Icarus (1949 MA)",16.53,0.51,,0.8270,1.078,22.80
"  1580 Betulia (1950 KA)",14.61,0.08,,0.4876,2.195,52.19
"  1620 Geographos (1951 RA)",15.27,0.290,0.15,0.3355,1.246,13.34
"  1627 Ivar (1929 SH)",12.79,0.15,,0.3973,1.863,8.46
"  1685 Toro (1948 OA)",14.28,0.31,,0.4360,1.368,9.38
"  1862 Apollo (1932 HA)",16.08,0.25,,0.5599,1.471,6.35
"  1863 Antinous (1948 EA)",15.46,0.24,,0.6063,2.26,18.38
"  1864 Daedalus (1971 FA)",14.84,0.273,,0.6144,1.461,22.22
"  1865 Cerberus (1971 UA)",16.79,0.22,,0.4669,1.08,16.10
"  1866 Sisyphus (1972 XA)",12.48,0.15,,0.5381,1.893,41.21
"  1915 Quetzalcoatl (1953 EA)",18.38,0.21,,0.5702,2.545,20.40
"  1916 Boreas (1953 RA)",14.92,,,0.4492,2.273,12.88
"  1917 Cuyo (1968 AA)",14.38,0.195,,0.5055,2.149,23.96
"  1943 Anteros (1973 EC)",15.69,0.17,,0.2559,1.431,8.71
"  1980 Tezcatlipoca (1950 LA)",13.81,0.25,,0.3647,1.709,26.87
"  1981 Midas (1973 EA)",15.25,,,0.6505,1.776,39.82
"  2059 Baboquivari (1963 UA)",15.98,,,0.5316,2.642,11.02
"  2061 Anza (1960 UA)",16.70,,,0.5356,2.265,3.80
"  2062 Aten (1976 AA)",17.11,0.26,,0.1829,0.967,18.94
"  2063 Bacchus (1977 HB)",17.21,0.203,0.02,0.3494,1.078,9.43
"  2100 Ra-Shalom (1978 RA)",16.25,0.13,0.20,0.4365,0.832,15.76
"  2101 Adonis (1936 CA)",18.69,,,0.7641,1.874,1.32
"  2102 Tantalus (1975 YA)",16.00,0.245,0.04,0.2994,1.29,64.01
"  2135 Aristaeus (1977 HA)",18.05,,,0.5031,1.6,23.07
"  2201 Oljato (1947 XC)",15.32,0.4328,0.10,0.7107,2.179,2.52
"  2202 Pele (1972 RA)",16.98,,,0.5129,2.291,8.74
"  2212 Hephaistos (1978 SB)",13.50,0.163,,0.8347,2.168,11.20
"  2329 Orthos (1976 WA)",14.58,,,0.6533,2.411,24.46
"  2340 Hathor (1976 UA)",20.43,,,0.4499,0.8439,5.86
"  2368 Beltrovata (1977 RA)",15.15,0.27,,0.4134,2.105,5.22
"  2608 Seneca (1978 DA)",17.48,0.21,,0.5647,2.53,14.43
"  3102 Krok (1981 QA)",16.16,,,0.4492,2.151,8.44
"  3103 Eger (1982 BB)",15.30,0.64,,0.3542,1.404,20.93
"  3122 Florence (1981 ET3)",14.08,0.231,,0.4232,1.769,22.14
"  3199 Nefertiti (1982 RA)",14.99,0.42,,0.2841,1.575,32.96
"  3200 Phaethon (1983 TB)",14.39,0.1066,0.15,0.8897,1.271,22.31
"  3271 Ul (1982 RB)",16.57,,,0.3955,2.102,25.07
"  3288 Seleucus (1982 DV)",15.34,0.22,,0.4545,2.034,5.93
"  3352 McAuliffe (1981 CW)",15.93,,,0.3691,1.879,4.77
"  3360 Syrinx (1981 VA)",16.04,0.17,,0.7474,2.466,21.07
"  3361 Orpheus (1982 HR)",19.56,0.357,,0.3232,1.21,2.65
"  3362 Khufu (1984 QA)",18.52,0.21,,0.4685,0.9895,9.92
"  3551 Verenia (1983 RD)",16.72,0.37,,0.4868,2.093,9.51
"  3552 Don Quixote (1983 SA)",13.04,0.03,,0.7073,4.27,31.05
"  3553 Mera (1985 JA)",16.40,,,0.3200,1.645,36.77
"  3554 Amun (1986 EB)",15.91,0.074,0.02,0.2806,0.974,23.36
"  3671 Dionysus (1984 KD)",16.49,0.16,,0.5438,2.197,13.53
"  3691 Bede (1982 FT)",14.93,0.515,,0.2845,1.774,20.35
"  3752 Camillo (1985 PA)",15.15,0.210,0.09,0.3015,1.414,55.56
"  3753 Cruithne (1986 TO)",15.44,0.365,0.11,0.5149,0.9978,19.80
"  3757 Anagolay (1982 XB)",19.01,0.18,,0.4459,1.835,3.87
"  3838 Epona (1986 WA)",15.63,,,0.7027,1.505,29.20
"  3908 Nyx (1980 PA)",17.45,0.23,0.15,0.4590,1.928,2.19
"  3988 Huma (1986 LA)",17.94,,,0.3167,1.545,10.77
"  4015 Wilson-Harrington (1979 VA)",16.19,0.05,0.50,0.6309,2.626,2.80
"  4034 Vishnu (1986 PA)",18.49,0.52,,0.4440,1.059,11.17
"  4055 Magellan (1985 DO2)",14.93,0.31,,0.3260,1.82,23.25
"  4179 Toutatis (1989 AC)",15.29,0.405,,0.6247,2.543,0.45
"  4183 Cuno (1959 LM)",14.16,0.097,0.10,0.6362,1.981,6.67
"  4197 Morpheus (1982 TA)",14.97,0.37,,0.7725,2.295,12.60
"  4257 Ubasti (1987 QA)",15.98,,,0.4684,1.647,40.72
"  4341 Poseidon (1987 KF)",16.08,0.054,0.65,0.6801,1.834,11.84
"  4401 Aditi (1985 TB)",16.12,0.343,0.54,0.5634,2.584,26.62
"  4450 Pan (1987 SY)",17.28,,,0.5866,1.442,5.52
"  4486 Mithra (1987 SB)",15.61,0.297,0.02,0.6600,2.206,3.03
"  4487 Pocahontas (1987 UA)",17.48,,,0.2965,1.73,16.41
"  4503 Cleobulus (1989 WM)",15.82,,,0.5248,2.704,2.51
"  4544 Xanthus (1989 FB)",17.37,,,0.2501,1.042,14.14
"  4581 Asclepius (1989 FC)",20.74,,,0.3569,1.023,4.92
"  4596 (1981 QB)",16.45,,,0.5200,2.239,37.07
"  4660 Nereus (1982 DB)",18.75,0.55,0.05,0.3588,1.485,1.45
"  4688 (1980 WF)",19.60,0.18,,0.5179,2.233,6.37
"  4769 Castalia (1989 PB)",17.40,0.092,,0.4832,1.063,8.89
"  4947 Ninkasi (1988 TJ1)",18.09,,,0.1684,1.37,15.65
"  4953 (1990 MU)",14.88,,,0.6575,1.621,24.38
"  4954 Eric (1990 SQ)",12.56,0.176,,0.4494,2.001,17.43
"  4957 Brucemurray (1990 XJ)",15.05,0.132,0.10,0.2188,1.565,35.01
"  5011 Ptah (6743 P-L)",16.66,,,0.5002,1.636,7.41
"  5131 (1990 BG)",14.83,,,0.5689,1.486,36.45
"  5143 Heracles (1991 VL)",14.06,0.227,0.38,0.7712,1.835,8.98
"  5189 (1990 UQ)",17.84,,,0.4782,1.552,3.58
"  5324 Lyapunov (1987 SL)",15.35,,,0.6063,2.979,19.66
"  5332 Davidaguilar (1990 DA)",14.96,,,0.4556,2.163,25.52
"  5370 Taranis (1986 RA)",15.23,0.037,,0.6370,3.318,19.17
"  5381 Sekhmet (1991 JY)",16.72,0.507,0.04,0.2964,0.9474,48.97
"  5496 (1973 NA)",16.15,,,0.6342,2.437,68.02
"  5587 (1990 SB)",13.89,0.32,,0.5443,2.401,18.04
"  5590 (1990 VA)",19.91,,,0.2801,0.9863,14.18
"  5604 (1992 FE)",17.38,0.48,,0.4065,0.93,4.70
"  5620 Jasonwheeler (1990 OA)",17.09,,,0.4227,2.159,7.87
"  5626 Melissabrucker (1991 FE)",14.33,,,0.4545,2.195,3.85
"  5645 (1990 SP)",17.23,0.121,0.02,0.3873,1.355,13.51
"  5646 (1990 TR)",15.51,0.223,,0.4358,2.144,7.91
"  5653 Camarillo (1992 WD5)",16.22,0.271,0.02,0.3044,1.794,6.87
"  5660 (1974 MA)",15.38,,,0.7620,1.786,38.14
